#Gene_name	LTL331_pre_Cx (bio1)	LTL331_pre_Cx (bio2)	LTL331_Cx_8wk	LTL331_Cx_12wk	LTL331_Cx_relapsed_NEPC (bio1)	LTL331_Cx_relapsed_NEPC (bio2)
KLK3	261353 	165862 	1209 	61 	9 	40 
KLK2	146720 	77255 	170 	43 	6 	24 
TMEFF2	14851 	9532 	53 	20 	133 	107 
SLC18A3	1418 	1057 	27 	4 	9 	6 
MSMB	53465 	113888 	1397 	270 	4 	20 
CHRNA2	1859 	1947 	46 	10 	1 	2 
KCNN2	11633 	3142 	56 	45 	1550 	2006 
ITIH5	807 	924 	29 	6 	4 	4 
DPP4	1322 	5344 	22 	23 	50 	11 
ADAM2	178 	1086 	63 	5 	1 	2 
GRAMD4P3	6627 	1931 	198 	37 	1 	0 
SLC45A3	82980 	97039 	1699 	788 	308 	312 
KLK4	71451 	43647 	2912 	513 	11 	39 
ZBTB16	2637 	3001 	105 	30 	0 	1 
NPY	46138 	21668 	211 	369 	226 	186 
U3	7811 	1333 	31 	61 	13 	9 
POTEH-AS1	828 	1166 	110 	13 	0 	0 
MAOB	16280 	879 	283 	135 	838 	1158 
CDH10	942 	1490 	24 	19 	42 	34 
GRAMD4P4	886 	284 	61 	10 	0 	0 
GOLGA8B	2550 	20 	57 	21 	2501 	1500 
GRIN3A	4644 	4337 	92 	82 	145 	177 
TRPM8	6868 	3953 	47 	101 	19403 	15548 
GRAMD4P2	1594 	868 	116 	23 	1 	0 
ARG2	13744 	31995 	2031 	442 	490 	488 
HMGN2P46	30195 	16150 	4557 	506 	6 	7 
NTNG2	2435 	406 	39 	31 	734 	756 
POTEM	4053 	4407 	437 	95 	2 	1 
PI15	91047 	97485 	6502 	2150 	212 	413 
POTEG	1893 	2099 	232 	47 	1 	0 
SLC2A5	2533 	160 	67 	34 	63 	59 
POTEH	931 	1260 	175 	28 	0 	1 
NTNG1	400 	394 	30 	10 	95 	36 
GRM7	566 	883 	86 	19 	9 	7 
ANKRD34B	10943 	10660 	710 	312 	844 	263 
EPHA5	630 	442 	44 	16 	4306 	2453 
MT1G	2806 	953 	125 	58 	165 	988 
CRYBA2	1594 	305 	26 	31 	750 	1424 
NBEAP1	737 	148 	22 	16 	4 	10 
SFTPA2	1699 	1368 	231 	56 	4 	2 
TMEM26	7123 	10942 	893 	338 	1 	2 
SPON2	152206 	86182 	14885 	4540 	635 	377 
MAOA	21994 	7440 	393 	572 	406 	462 
DNASE2B	618 	523 	26 	22 	0 	0 
LPAR3	4853 	3434 	294 	183 	4114 	2434 
SEC14L2	8844 	5363 	368 	321 	681 	705 
HMGCS2	11289 	6214 	2778 	396 	10 	48 
LCK	660 	361 	48 	23 	33 	111 
CYP1A1	785 	42 	80 	20 	1 	2 
CECR6	1528 	1528 	70 	74 	1667 	1653 
KLKP1	1623 	1818 	376 	84 	0 	0 
SNAI2	1409 	827 	38 	55 	70 	83 
MYBPC1	2973 	1926 	99 	121 	2 	1 
GRPR	565 	572 	150 	29 	2 	10 
ACER1	190 	265 	31 	12 	2 	0 
AGT	6061 	780 	158 	184 	96 	33 
GNMT	1830 	814 	122 	73 	30 	33 
ITLN2	132 	197 	31 	9 	2 	2 
IGF1	32042 	6881 	1818 	1081 	8 	10 
HCCAT3	2712 	400 	141 	88 	14 	16 
ACADL	1045 	1146 	60 	65 	6 	1 
GPR75-ASB3	7118 	4399 	439 	340 	275 	261 
PPAP2A	67573 	65993 	6594 	3958 	290 	348 
TBXAS1	1484 	683 	108 	65 	86 	64 
FAR2P4	463 	343 	58 	25 	0 	0 
LRRC7	1355 	2307 	344 	112 	826 	404 
STEAP4	25467 	75439 	2554 	3091 	12 	14 
VIM	134891 	35075 	5719 	5565 	800 	494 
CHAC2	1722 	1070 	159 	92 	660 	653 
STXBP5-AS1	2718 	3544 	670 	210 	16 	22 
LDLR	6012 	14578 	661 	695 	1112 	3139 
CYP4F31P	166 	200 	28 	13 	1 	0 
RDH11	86647 	81965 	17941 	5935 	3333 	4042 
NKX3-1	98800 	98836 	18525 	6984 	34 	35 
ZNF761	122478 	137034 	12087 	9267 	2369 	2276 
CA12	7351 	2099 	171 	338 	140 	79 
NPY4R	414 	1344 	43 	64 	0 	0 
FOXB2	199 	93 	21 	11 	0 	1 
CRISPLD2	22338 	18773 	3237 	1589 	2068 	2491 
CD163L1	758 	254 	41 	39 	7 	7 
SYNGR4	314 	35 	26 	14 	156 	350 
ACSL3	51433 	42386 	4334 	3775 	3401 	2542 
STK39	16752 	8638 	1286 	1022 	5598 	4705 
ANO4	180 	203 	61 	15 	9 	12 
DHCR24	63702 	84562 	6427 	6254 	7930 	10539 
MYO1G	974 	2190 	125 	134 	82 	86 
SLC9A2	1965 	3456 	481 	230 	1119 	426 
ANKRD29	6010 	6978 	1951 	560 	51 	19 
AGAP7	314 	722 	107 	45 	30 	28 
ISG15	9561 	677 	273 	447 	55 	41 
BRINP3	185 	430 	106 	27 	1 	2 
MT1F	2275 	853 	222 	138 	572 	1186 
TPM3P9	23647 	35225 	3508 	2623 	768 	838 
ROR1	562 	444 	40 	45 	108 	37 
ERG	35520 	35882 	3715 	3208 	7 	15 
INHBC	155 	325 	29 	22 	9 	41 
COL26A1	2388 	1274 	357 	168 	16 	9 
GP2	30047 	45048 	6312 	3500 	65 	50 
KRT16	834 	18211 	489 	892 	7 	3 
TUBA3D	981 	362 	116 	63 	127 	130 
TMC1	206 	188 	55 	19 	3 	1 
LGI4	441 	133 	25 	27 	180 	61 
PLEKHH1	46038 	74008 	18520 	5808 	212 	234 
SV2B	5294 	4414 	1790 	476 	81 	290 
CPS1	212 	361 	29 	28 	341 	550 
MT1M	1300 	475 	161 	89 	141 	369 
MT1E	6496 	2247 	918 	438 	1193 	3017 
UNC5C	2037 	3517 	296 	281 	223 	281 
DBI	16449 	7754 	1465 	1224 	1479 	1333 
CHST8	1489 	815 	122 	118 	6279 	4998 
ATP10A	1858 	1818 	180 	188 	7 	2 
MME	81330 	36116 	8241 	6018 	178 	166 
RTN1	16544 	10438 	1820 	1387 	2416 	3039 
INA	1878 	2009 	361 	201 	6476 	8455 
ADARB2	316 	88 	21 	21 	443 	339 
ELOVL2	1784 	2285 	496 	214 	246 	41 
AQP4-AS1	418 	272 	38 	38 	81 	40 
RASL10A	410 	134 	40 	30 	261 	100 
ALDH1A1	55 	2209 	289 	125 	24 	27 
NRXN2	379 	29 	36 	23 	2203 	2264 
KLF2P4	207 	220 	35 	24 	3 	4 
TDRD9	323 	18 	56 	19 	1 	1 
SNCA	1965 	722 	436 	150 	142 	120 
BMPR1B	17188 	21146 	3294 	2143 	39 	27 
OSGIN1	661 	320 	58 	55 	205 	233 
YAP1P1	211 	880 	187 	62 	0 	4 
FEV	923 	490 	203 	80 	148 	378 
NXPH3	238 	510 	63 	43 	9 	15 
MT1X	2172 	1329 	344 	202 	369 	1401 
GPR110	4351 	2264 	444 	383 	120 	71 
MAF	35411 	24359 	4584 	3488 	170 	148 
CENPW	355 	133 	49 	29 	475 	447 
C19orf48	27694 	17041 	4069 	2615 	6451 	7949 
CAMK2N1	98713 	10841 	4360 	6426 	2313 	942 
ANGPTL4	1099 	242 	64 	79 	132 	125 
NDRG1	249886 	161909 	32080 	24547 	1912 	1827 
SLC22A3	15923 	11954 	732 	1681 	4 	1 
DHRS7	37686 	16711 	6362 	3326 	4827 	5057 
TLL2	959 	768 	149 	108 	27 	24 
KNSTRN	2528 	748 	343 	206 	3515 	4528 
AK5	378 	208 	28 	37 	452 	227 
TMPRSS2	65630 	82854 	12128 	9438 	13 	11 
MN1	830 	3534 	381 	278 	4721 	1463 
SPDEF	30862 	18934 	6903 	3188 	451 	324 
MTFP1	327 	115 	29 	29 	329 	370 
SOCS2	37242 	33649 	6447 	4593 	99 	68 
RBM20	4817 	2418 	908 	470 	231 	241 
FMOD	7202 	237 	676 	484 	87 	181 
TAC1	306 	243 	76 	36 	0 	0 
GABRG3	1481 	1285 	303 	182 	4 	3 
SLC7A10	295 	353 	57 	43 	15 	15 
PDE9A	15541 	7629 	2936 	1531 	901 	410 
YTHDF3-AS1	336 	59 	48 	26 	127 	111 
ANO2	176 	75 	21 	17 	217 	273 
EFEMP1	816 	1083 	106 	126 	8 	4 
ARHGDIG	164 	679 	87 	56 	7 	60 
